"event","experiment time","system time","system time text"
"START",0.000000000E0,1714530275.311,"2024-05-01 11:24:35.311 UTC+09:00"
"PAUSE",3.088319508E2,1714530584.143,"2024-05-01 11:29:44.143 UTC+09:00"
