"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.638762100E-2,9.768698692E0,3.930211067E-1,-5.509474277E-1
3.584939200E-2,9.885947227E0,3.505485058E-1,-5.521438122E-1
5.531126700E-2,9.781260490E0,4.821537733E-1,-4.235295951E-1
7.477314200E-2,9.495318413E0,6.221339107E-1,-3.236292601E-1
9.423501700E-2,9.192625999E0,6.813562512E-1,-3.768695593E-1
1.136967880E-1,9.227920532E0,8.315058947E-1,-2.715853751E-1
1.331586630E-1,9.962516785E0,7.411768436E-1,-1.405783296E-1
1.526205380E-1,1.077428246E1,5.593222976E-1,-2.973082066E-1
1.720824130E-1,1.079103184E1,6.269195080E-1,-5.341976285E-1
1.915441840E-1,1.007557774E1,7.842476368E-1,-5.880361795E-1
2.110060590E-1,9.339186668E0,8.344969153E-1,-6.167500615E-1
2.304679340E-1,8.995218277E0,9.014959335E-1,-7.381857634E-1
2.499297040E-1,9.157930374E0,8.985049129E-1,-7.525427341E-1
2.693915790E-1,9.744172096E0,6.747759581E-1,-7.579265833E-1
2.888534540E-1,1.014915752E1,4.277170599E-1,-8.817551732E-1
3.083153290E-1,1.010668468E1,3.744767308E-1,-8.751748800E-1
3.277771000E-1,9.769894600E0,4.444667995E-1,-7.603194118E-1
3.472389750E-1,9.434301376E0,4.624129832E-1,-7.310073376E-1
3.667008500E-1,9.336195946E0,4.971089065E-1,-7.316055298E-1
3.861627250E-1,9.524032593E0,4.815555513E-1,-7.740781307E-1
4.056244960E-1,9.769296646E0,3.870390654E-1,-9.433703423E-1
4.250863710E-1,9.994221687E0,3.397808075E-1,-1.192223907E0
4.445482460E-1,1.001934624E1,2.733799815E-1,-1.301097274E0
4.640101210E-1,9.842875481E0,1.722832322E-1,-1.298704505E0
4.834718920E-1,9.516854286E0,-5.503492057E-2,-1.275972724E0
5.029337670E-1,9.282955170E0,-2.967100143E-1,-1.274776220E0
5.223956420E-1,9.212367058E0,-5.300102234E-1,-1.266401410E0
5.418574130E-1,9.317052841E0,-6.197410822E-1,-1.287936807E0
5.613192880E-1,9.580862045E0,-5.521438122E-1,-1.292124271E0
5.807811630E-1,9.954740524E0,-4.468596280E-1,-1.235892892E0
6.002430380E-1,1.024247742E1,-4.857429862E-1,-1.305882931E0
6.197048090E-1,1.035314560E1,-6.406782866E-1,-1.471585870E0
6.391666840E-1,1.021376324E1,-8.033902049E-1,-1.554736495E0
6.586285590E-1,9.997811317E0,-7.591229677E-1,-1.476969719E0
6.780904340E-1,9.784850121E0,-6.592226624E-1,-1.360917926E0
6.975522040E-1,9.705288887E0,-6.687939167E-1,-1.350150228E0
7.170140790E-1,9.793823242E0,-7.166503668E-1,-1.468594909E0
7.364759540E-1,9.933204651E0,-7.447660565E-1,-1.634896040E0
7.559378290E-1,1.015633583E1,-6.699903607E-1,-1.822134495E0
7.753996000E-1,1.031725311E1,-4.342973232E-1,-1.922034740E0
7.948614750E-1,1.012044334E1,-2.769692242E-1,-1.664208174E0
8.143233500E-1,9.698708534E0,-4.319044948E-1,-1.380658627E0
8.337851210E-1,9.542576790E0,-7.232306600E-1,-1.237089276E0
8.532469960E-1,9.601799011E0,-1.009172916E0,-1.164706469E0
8.727088710E-1,9.774082184E0,-1.252642632E0,-1.262812138E0
8.921707460E-1,9.967302322E0,-1.517647743E0,-1.456032634E0
9.116325170E-1,1.003489971E1,-1.761715651E0,-1.631905079E0
9.310943920E-1,9.967901230E0,-1.838884234E0,-1.724626899E0
9.505562670E-1,9.825528145E0,-1.709671736E0,-1.733001828E0
9.700181420E-1,9.635896683E0,-1.515254974E0,-1.759322882E0
9.894799130E-1,9.581459999E0,-1.401595831E0,-1.825125456E0
1.008941788E0,9.574879646E0,-1.396211982E0,-1.856232166E0
1.028403663E0,9.542576790E0,-1.460219979E0,-1.904088616E0
1.047865538E0,9.453444481E0,-1.517647743E0,-1.891526341E0
1.067327309E0,9.370293617E0,-1.415952802E0,-1.852044702E0
1.086789184E0,9.278169632E0,-1.147956610E0,-1.795215130E0
1.106251059E0,9.156734467E0,-9.427721500E-1,-1.776670814E0
1.125712829E0,9.156734467E0,-9.403793216E-1,-1.858026743E0
1.145174704E0,9.232706070E0,-1.025324464E0,-1.995614052E0
1.164636579E0,9.366106033E0,-1.125823021E0,-2.157727718E0
1.184098454E0,9.557532310E0,-1.176670551E0,-2.353341103E0
1.203560225E0,9.732208252E0,-8.985049129E-1,-2.385046005E0
1.223022100E0,9.830911636E0,-4.241278172E-1,-2.312663078E0
1.242483975E0,1.007797050E1,9.750752151E-2,-2.365903378E0
1.261945850E0,1.016052341E1,7.178468108E-1,-2.227119684E0
