"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.390720400E-2,1.069013402E-2,-1.099556610E-1,-3.558287397E-2
8.336907900E-2,1.802051067E-2,-1.291978955E-1,-1.985310577E-2
1.028308500E-1,1.817322709E-2,-1.568395346E-1,-1.756236330E-2
1.222927250E-1,1.634063199E-2,-1.795942485E-1,-2.718348242E-2
1.417546000E-1,1.343902480E-2,-2.054032832E-1,-5.619955808E-2
1.612164750E-1,8.246674202E-3,-2.154825479E-1,-7.498364896E-2
1.806782460E-1,2.916879393E-2,-1.861610413E-1,-5.787943676E-2
2.001401210E-1,7.040216774E-2,-1.519526094E-1,-1.679878123E-2
2.196019960E-1,8.643736690E-2,-1.646280587E-1,2.244928107E-2
2.390638710E-1,7.971785218E-2,-2.287688553E-1,4.993819445E-2
2.585256420E-1,6.948586553E-2,-3.089448512E-1,5.726857483E-2
2.779875170E-1,5.925388262E-2,-3.452913165E-1,4.917461425E-2
2.974493920E-1,6.169734150E-2,-3.048215210E-1,4.108065739E-2
3.169112670E-1,9.483675659E-2,-2.205221802E-1,4.337139800E-2
3.363730380E-1,1.507308781E-1,-1.618791670E-1,6.291907281E-2
3.558349130E-1,1.992946416E-1,-1.598938555E-1,8.368847519E-2
3.752967880E-1,2.310595959E-1,-1.974620372E-1,9.178243577E-2
3.947585590E-1,2.542724609E-1,-2.344193608E-1,9.071341902E-2
4.142204340E-1,2.727511227E-1,-2.512181401E-1,9.743293375E-2
4.336823090E-1,2.929096520E-1,-2.530507445E-1,1.081230640E-1
4.531441840E-1,3.248273432E-1,-2.396117151E-1,1.191186309E-1
4.726059540E-1,3.689623177E-1,-2.312123179E-1,1.350011230E-1
4.920678290E-1,4.266890585E-1,-2.440404743E-1,1.704312712E-1
5.115297040E-1,4.941896200E-1,-2.832885385E-1,2.182314396E-1
5.309915790E-1,5.681042671E-1,-3.316995800E-1,2.683223486E-1
5.504533500E-1,6.409498453E-1,-3.591884971E-1,3.113883138E-1
5.699152250E-1,7.038689256E-1,-3.607156575E-1,3.520108163E-1
5.893771000E-1,7.799215913E-1,-3.199404180E-1,3.787361681E-1
6.088388710E-1,8.436042666E-1,-2.557996213E-1,3.962985277E-1
6.283007460E-1,8.295543790E-1,-2.052505612E-1,3.949240744E-1
6.477626210E-1,7.620537877E-1,-1.794415265E-1,3.743073940E-1
6.672244960E-1,6.931788325E-1,-1.797469556E-1,3.316995800E-1
6.866862670E-1,6.342303753E-1,-1.850920320E-1,2.765690386E-1
7.061481420E-1,5.702422857E-1,-1.818849891E-1,2.235765159E-1
7.256100170E-1,4.960221946E-1,-1.647807807E-1,1.742491722E-1
7.450718920E-1,4.040870368E-1,-1.238528341E-1,1.218675226E-1
7.645336630E-1,2.900080681E-1,-5.283980444E-2,6.246092543E-2
7.839955380E-1,1.676823795E-1,2.153298259E-2,2.290742937E-3
8.034574130E-1,6.414080411E-2,8.826996386E-2,-5.283980444E-2
8.229192880E-1,-1.695149764E-2,1.108719558E-1,-8.414662629E-2
8.423810590E-1,-9.957095981E-2,9.819651395E-2,-1.153007299E-1
