"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.649757251E0,1.290451884E-1,1.669187993E-1,-4.940368980E-2
1.669221105E0,1.156061590E-1,1.534797698E-1,-4.741837829E-2
1.688684855E0,1.154534444E-1,1.631008983E-1,-2.817613818E-2
1.708148709E0,1.146898642E-1,2.054032832E-1,8.475748822E-3
1.727612459E0,1.020144150E-1,2.513708472E-1,5.245801434E-2
1.747076313E0,7.742711157E-2,2.780961990E-1,8.895718306E-2
1.766540167E0,6.948586553E-2,2.776380479E-1,1.120173261E-1
1.786003917E0,7.941242307E-2,2.364046723E-1,1.231656075E-1
1.805467772E0,8.445205539E-2,1.514944583E-1,1.173623949E-1
1.824931522E0,6.979130208E-2,5.222893879E-2,8.895718306E-2
1.844395376E0,2.550360374E-2,-1.908952370E-2,3.718639165E-2
1.863859126E0,-4.276053607E-2,-1.786779426E-2,-8.933897130E-3
1.883322980E0,-1.197294965E-1,5.482511222E-2,-1.992946304E-2
1.902786730E0,-1.966984570E-1,1.243109852E-1,4.963276442E-3
1.922250584E0,-2.518289983E-1,1.374445707E-1,4.298960790E-2
1.941714438E0,-2.544251680E-1,1.024725661E-1,8.300124854E-2
1.961178188E0,-2.171624303E-1,2.153298259E-2,1.143080741E-1
1.980642042E0,-1.650862098E-1,-5.925388262E-2,1.260672212E-1
2.000105792E0,-1.330158114E-1,-9.544762224E-2,1.155297980E-1
2.019569647E0,-1.299614757E-1,-7.040216774E-2,8.987347782E-2
2.039033397E0,-1.646280587E-1,-1.664606482E-2,6.818778068E-2
2.058497251E0,-2.145662606E-1,9.621120058E-3,7.154753804E-2
2.077961001E0,-2.283107042E-1,-9.468403645E-3,7.154753804E-2
2.097424855E0,-1.994473487E-1,-5.619955808E-2,8.636100590E-2
2.116888709E0,-1.757763475E-1,-4.917461425E-2,9.903645515E-2
2.136352459E0,-1.406516135E-1,-1.359174121E-2,9.048434347E-2
2.155816313E0,-1.056796089E-1,-1.985310577E-2,7.857248187E-2
2.175280063E0,-7.910698652E-2,-1.282816008E-2,4.589121789E-2
2.194743917E0,-5.894844979E-2,9.926552884E-3,1.550069358E-2
2.214207667E0,-4.062250629E-2,3.894263133E-2,3.894262947E-3
2.233671522E0,-1.435532235E-2,4.718930274E-2,8.933897130E-3
2.253135272E0,2.504545636E-2,4.932733253E-2,3.046688065E-2
2.272599126E0,5.665770918E-2,5.528326333E-2,4.909825698E-2
2.292062876E0,6.902772188E-2,6.276635826E-2,4.314232618E-2
2.311526730E0,6.276635826E-2,7.192932814E-2,2.145662531E-2
2.330990584E0,4.718930274E-2,9.498947114E-2,5.726857111E-3
2.350454334E0,3.039052337E-2,1.162170246E-1,-3.817904799E-4
2.369918188E0,1.740964688E-2,1.116355360E-1,2.519817324E-3
2.389381938E0,9.621120058E-3,8.918625861E-2,1.443168055E-2
2.408845792E0,-2.290742937E-3,6.200277433E-2,2.023489587E-2
2.428309542E0,-2.031125315E-2,4.825831577E-2,2.038761228E-2
2.447773397E0,-3.802633286E-2,4.917461425E-2,1.779143699E-2
2.467237147E0,-4.489856213E-2,4.596757516E-2,1.870773360E-2
2.486701001E0,-3.833176568E-2,3.588830680E-2,3.229947388E-2
2.506164751E0,-3.130681813E-2,2.932151034E-2,4.802924395E-2
2.525628605E0,-3.115410358E-2,3.359756246E-2,5.383246019E-2
2.545092355E0,-3.985892609E-2,4.214967042E-2,5.352702737E-2
2.564556209E0,-5.711585656E-2,5.222893879E-2,5.108356848E-2
2.584019959E0,-8.170316368E-2,4.321868345E-2,4.711294547E-2
2.603483813E0,-1.059850380E-1,3.115410358E-2,4.802924395E-2
2.622947563E0,-1.133154184E-1,1.893680729E-2,4.818195850E-2
2.642411417E0,-9.086613357E-2,6.108647678E-3,5.215258151E-2
2.661875167E0,-5.803215504E-2,2.901607659E-3,5.871937796E-2
2.681339022E0,-3.863719851E-2,3.817904973E-3,5.520690605E-2
2.700802772E0,-3.604102135E-2,9.621120058E-3,4.146244749E-2
2.720266626E0,-3.833176568E-2,1.786779426E-2,3.413207084E-2
2.739730376E0,-3.054323979E-2,1.618791744E-2,3.917170316E-2
2.759194230E0,-9.315688163E-3,-3.817904973E-3,5.047270283E-2
2.778657980E0,1.252272818E-2,-6.261364091E-3,5.505418777E-2
