"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.748211313E0,9.507282257E0,1.098305583E0,-2.608176768E-1
1.767675167E0,9.429515839E0,1.304088354E0,-2.428714931E-1
1.787138917E0,9.537193298E0,1.337587833E0,-1.722832322E-1
1.806602772E0,9.668798447E0,1.284945726E0,-3.176472187E-1
1.826066522E0,9.936794281E0,1.375872970E0,-6.466603279E-1
1.845530376E0,1.021316528E1,1.541576028E0,-1.028315544E0
1.864994126E0,1.026341438E1,1.692323804E0,-1.262213945E0
1.884457980E0,9.851848602E0,1.670190215E0,-1.242473125E0
1.903921730E0,9.230313301E0,1.469791293E0,-1.077368379E0
1.923385584E0,8.822935104E0,1.211964726E0,-6.370890141E-1
1.942849438E0,8.743971825E0,9.260223508E-1,-2.231307179E-1
1.962313188E0,9.040083885E0,7.818548083E-1,9.571290575E-3
1.981777042E0,9.589237213E0,7.405785918E-1,4.785645287E-3
2.001240792E0,1.013898754E1,7.429714203E-1,-1.513460279E-1
2.020704647E0,1.037228775E1,6.993024349E-1,-4.606183469E-1
2.040168397E0,1.016650486E1,8.542376757E-1,-7.651050687E-1
2.059632251E0,9.912267685E0,9.816554785E-1,-7.944171429E-1
2.079096001E0,9.709476471E0,1.019342422E0,-6.119644046E-1
2.098559855E0,9.629914284E0,8.045865893E-1,-4.055834413E-1
2.118023709E0,9.752547264E0,5.778666735E-1,-1.537388563E-1
2.137487459E0,9.745966911E0,3.960121572E-1,-1.848455518E-1
2.156951313E0,9.950552940E0,2.356930375E-1,-3.146561682E-1
2.176415063E0,1.012104130E1,1.740778536E-1,-3.457628787E-1
2.195878917E0,1.012522888E1,2.608176768E-1,-3.804588020E-1
2.215342667E0,1.002054310E1,4.307080805E-1,-5.371887088E-1
2.234806522E0,9.811170578E0,6.119644046E-1,-4.773681164E-1
2.254270272E0,9.695118904E0,7.441678643E-1,-3.906283081E-1
2.273734126E0,9.809376717E0,7.800601721E-1,-2.949153781E-1
2.293197876E0,9.985248566E0,6.981059909E-1,-2.333002090E-1
2.312661730E0,1.007438183E1,6.245267391E-1,-2.452643216E-1
2.332125584E0,1.003789139E1,6.430711150E-1,-3.278166950E-1
2.351589334E0,9.883553505E0,7.172485590E-1,-3.367897868E-1
2.371053188E0,9.750154495E0,8.494520187E-1,-3.080759048E-1
2.390516938E0,9.665806770E0,8.757730722E-1,-2.656033039E-1
2.409980792E0,9.683753014E0,8.243274093E-1,-2.380858511E-1
2.429444542E0,9.750154495E0,7.986045480E-1,-2.279163599E-1
2.448908397E0,9.784850121E0,7.453642488E-1,-2.045863420E-1
2.468372147E0,9.746564865E0,7.429714203E-1,-1.776670814E-1
2.487836001E0,9.741181374E0,8.051848412E-1,-1.812563092E-1
2.507299751E0,9.814760208E0,8.566305041E-1,-2.021935135E-1
2.526763605E0,9.885348320E0,8.380861282E-1,-2.374876440E-1
2.546227355E0,9.860821724E0,7.435696125E-1,-2.883351147E-1
2.565691209E0,9.743574142E0,6.735795736E-1,-3.152543902E-1
2.585154959E0,9.670592308E0,6.783652306E-1,-3.002992272E-1
2.604618813E0,9.723235130E0,7.579265833E-1,-2.416750938E-1
