"event","experiment time","system time","system time text"
"START",0.000000000E0,1714529596.473,"2024-05-01 11:13:16.473 UTC+09:00"
"PAUSE",3.368871424E2,1714529933.360,"2024-05-01 11:18:53.360 UTC+09:00"
