"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.698642700E-2,9.828518867E0,3.242274821E-1,1.944168359E-1
3.644882300E-2,1.013300610E1,2.506481707E-1,2.261217386E-1
5.591121900E-2,1.030229759E1,3.158525825E-1,2.656033039E-1
7.537361500E-2,1.035613632E1,4.127618968E-1,3.206382394E-1
9.483601100E-2,1.029870892E1,4.151547253E-1,4.348955154E-1
1.142984070E-1,1.011864853E1,4.043870270E-1,6.071787477E-1
1.337608020E-1,9.894321442E0,4.259224236E-1,6.771687865E-1
1.532231980E-1,9.649057388E0,4.648058116E-1,6.592226624E-1
1.726855940E-1,9.393025398E0,5.066801906E-1,6.897311211E-1
1.921479900E-1,9.328418732E0,5.401797295E-1,6.825526357E-1
2.116103860E-1,9.396016121E0,6.059823632E-1,6.430711150E-1
2.310727820E-1,9.413962364E0,7.531409264E-1,5.300102234E-1
2.505351770E-1,9.445069313E0,9.026923180E-1,4.013960063E-1
2.699976770E-1,9.497711182E0,8.781659007E-1,3.708875179E-1
2.894600730E-1,9.489934921E0,7.112665176E-1,3.732803464E-1
3.089224690E-1,9.524630547E0,3.786641955E-1,3.972085714E-1
3.283848650E-1,9.724431038E0,2.087737769E-1,5.168496966E-1
3.478472610E-1,9.882357597E0,1.722832322E-1,5.886343718E-1
3.673096570E-1,9.850652695E0,1.567298770E-1,7.118647099E-1
3.867720520E-1,9.927223206E0,1.399801224E-1,6.951149702E-1
4.062344480E-1,1.004447079E1,2.446661144E-1,5.108676553E-1
4.256968440E-1,1.005643559E1,4.749752879E-1,2.638086975E-1
4.451592400E-1,1.004088211E1,8.171489239E-1,1.531406492E-1
4.646216360E-1,9.951749802E0,1.169492126E0,3.427718580E-1
4.840840320E-1,9.781859398E0,1.328016520E0,5.778666735E-1
5.035464270E-1,9.614959717E0,1.200000525E0,7.238288522E-1
5.230088230E-1,9.619745255E0,9.367900491E-1,7.788637877E-1
5.424712190E-1,9.848857880E0,7.998009920E-1,6.825526357E-1
5.619336150E-1,1.014257717E1,8.093722463E-1,3.738785386E-1
5.813960110E-1,1.026102161E1,7.232306600E-1,1.441675574E-1
6.008584070E-1,1.011386299E1,5.964110494E-1,3.212364316E-1
6.203208020E-1,9.963713646E0,5.443671346E-1,8.386843204E-1
6.397831980E-1,9.999606133E0,4.857429862E-1,1.169492126E0
6.592455940E-1,9.999606133E0,4.181457460E-1,1.009771109E0
6.787079900E-1,9.952347755E0,3.846462369E-1,4.881358147E-1
6.981703860E-1,9.900303841E0,3.517449200E-1,1.136590764E-1
7.176327820E-1,9.823733330E0,5.569294691E-1,1.537388563E-1
7.370951770E-1,9.705886841E0,9.200403094E-1,4.695914388E-1
7.565575730E-1,9.556335449E0,1.100100160E0,7.034898400E-1
7.760199690E-1,9.306883812E0,1.019940615E0,6.340979934E-1
7.954823650E-1,9.215357780E0,9.062815905E-1,4.953143001E-1
8.149447610E-1,9.493523598E0,9.026923180E-1,3.864408433E-1
8.344071570E-1,9.881759644E0,8.398807645E-1,5.545366406E-1
8.538695520E-1,1.005284595E1,7.537391186E-1,7.304090858E-1
8.733319480E-1,1.031725311E1,7.142575383E-1,5.940182209E-1
8.927943440E-1,1.066002464E1,6.406782866E-1,5.066801906E-1
9.122567400E-1,1.073958588E1,4.989035130E-1,4.971089065E-1
9.317191360E-1,1.032562828E1,1.489532143E-1,4.995017350E-1
9.511815320E-1,9.741779327E0,-3.475574851E-1,5.006981492E-1
9.706439270E-1,9.337990761E0,-7.148557901E-1,6.011967063E-1
9.901064270E-1,9.225527763E0,-6.412764788E-1,8.303094506E-1
1.009568719E0,9.386445045E0,-1.286142170E-1,9.595218897E-1
1.029031219E0,9.605388641E0,3.433700502E-1,8.243274093E-1
1.048493615E0,9.801001549E0,5.102694035E-1,6.179464459E-1
1.067956011E0,9.878170013E0,4.941178858E-1,4.809573591E-1
1.087418407E0,9.818947792E0,3.768695593E-1,3.816552162E-1
1.106880802E0,9.752547264E0,2.494517565E-1,2.943171859E-1
1.126343198E0,9.705288887E0,1.381855011E-1,2.715853751E-1
1.145805594E0,9.768099785E0,5.742774159E-2,2.757728100E-1
1.165267990E0,9.918848038E0,-1.674975827E-2,4.001995921E-1
1.184730386E0,1.010907745E1,-1.160518974E-1,6.023930907E-1
1.204192782E0,1.016829967E1,-3.122633696E-1,7.369893789E-1
1.223655177E0,1.006361389E1,-5.443671346E-1,8.315058947E-1
1.243117573E0,9.818349838E0,-6.711867452E-1,9.224331379E-1
1.262579969E0,9.568299294E0,-6.370890141E-1,9.655039310E-1
1.282042365E0,9.481559753E0,-5.270192027E-1,9.326026440E-1
1.301504761E0,9.543772697E0,-3.792623878E-1,8.787640929E-1
1.320967157E0,9.656235695E0,-2.333002090E-1,9.296116233E-1
1.340429552E0,9.803992271E0,-1.710868180E-1,9.439685345E-1
1.359891948E0,9.934401512E0,-2.506481707E-1,8.051848412E-1
1.379354344E0,9.906884193E0,-2.769692242E-1,7.639086246E-1
1.398816740E0,9.826126099E0,-2.446661144E-1,8.590233326E-1
1.418279136E0,9.771689415E0,-2.105683982E-1,1.074377418E0
1.437741532E0,9.788438797E0,-2.093719840E-1,1.058824062E0
1.457203927E0,9.732208252E0,-2.368894368E-1,8.626125455E-1
1.476666323E0,9.747162819E0,-2.189432681E-1,6.460621357E-1
1.496128719E0,9.848259926E0,-1.441675574E-1,5.407779217E-1
1.515591115E0,9.922437668E0,-3.888336942E-2,6.412764788E-1
1.535053511E0,9.980463028E0,-1.016949583E-2,7.836494446E-1
1.554515907E0,9.942776680E0,-6.819544733E-2,7.764709592E-1
1.573978302E0,9.854242325E0,-1.645065546E-1,6.418746710E-1
1.593440698E0,9.789037704E0,-2.285145670E-1,4.863412082E-1
1.612903198E0,9.745368004E0,-2.129612118E-1,4.516452849E-1
1.632365594E0,9.798010826E0,-1.310070455E-1,5.599204898E-1
1.651827990E0,9.869794846E0,-5.024927482E-2,6.352944374E-1
1.671290386E0,9.915857315E0,1.196411345E-2,5.874379873E-1
1.690752782E0,9.876974106E0,8.793623000E-2,4.007977843E-1
1.710215177E0,9.835099220E0,8.853443712E-2,1.423729509E-1
1.729677573E0,9.842875481E0,1.746760458E-1,1.495514158E-2
1.749139969E0,9.918848038E0,2.787638307E-1,3.888336942E-2
1.768602365E0,9.951749802E0,2.991028428E-1,1.603191197E-1
1.788064761E0,9.869794846E0,2.458625287E-1,1.980060786E-1
1.807527157E0,9.761520386E0,1.525424421E-1,2.159522474E-1
1.826989552E0,9.738788605E0,1.794617064E-2,1.040877849E-1
1.846451948E0,9.809376717E0,-5.204389244E-2,-1.375873014E-2
1.865914344E0,9.835099220E0,-1.674975827E-2,-7.477571070E-2
1.885376740E0,9.921240807E0,5.443671346E-2,2.093719877E-2
1.904839136E0,1.004267693E1,6.759724021E-2,1.680957973E-1
1.924301532E0,1.010249710E1,4.007977992E-2,2.380858511E-1
1.943763927E0,1.006600666E1,-3.768695518E-2,1.926222295E-1
1.963226323E0,1.001097202E1,-1.609173268E-1,7.477571070E-2
1.982688719E0,9.992427826E0,-2.075773627E-1,2.153540403E-2
2.002151115E0,9.900303841E0,-1.226321608E-1,2.931207791E-2
2.021613511E0,9.863813400E0,-2.991028363E-3,7.298108935E-2
2.041075907E0,9.915258408E0,8.075776696E-2,1.501496136E-1
2.060538302E0,9.872187614E0,1.333998591E-1,2.985046208E-1
2.080000698E0,9.845867157E0,1.004985496E-1,3.649054468E-1
2.099463094E0,9.828518867E0,-5.982056609E-4,1.998006850E-1
2.118925490E0,9.829715729E0,-7.298108935E-2,6.580262631E-2
2.138387886E0,9.958329201E0,-1.734796353E-2,9.511470050E-2
2.157850282E0,1.018983555E1,7.178468257E-2,1.692921966E-1
2.177312677E0,1.035314560E1,1.489532143E-1,1.429711580E-1
2.196775073E0,9.995418549E0,9.870393574E-2,6.999006122E-2
2.216237573E0,9.564111710E0,-4.785645381E-2,3.110669367E-2
2.235699969E0,9.573084831E0,-2.141576260E-1,1.262213886E-1
2.255162365E0,9.775876999E0,-2.817548811E-1,6.065805554E-1
2.274624761E0,9.802796364E0,-1.333998591E-1,1.055832982E0
2.294087157E0,9.867402077E0,5.144568533E-2,9.942178130E-1
2.313549552E0,9.891928673E0,2.632105052E-1,4.642075896E-1
2.333011948E0,9.827322960E0,4.546363056E-1,-1.579262912E-1
2.352474344E0,9.774082184E0,5.808576941E-1,-4.749752879E-1
2.371936740E0,9.870393753E0,6.005984545E-1,-2.464607358E-1
2.391399136E0,9.969695091E0,4.785645306E-1,2.009970993E-1
2.410861532E0,9.978668213E0,2.608176768E-1,4.175475538E-1
2.430323927E0,9.926026344E0,-1.238285750E-1,4.905286431E-1
2.449786323E0,9.693324089E0,-4.175475538E-1,2.925225794E-1
2.469248719E0,9.553942680E0,-3.535395563E-1,9.571290575E-3
2.488711115E0,9.722636223E0,-1.585244983E-1,1.447657645E-1
2.508173511E0,9.909276962E0,8.554340899E-2,4.977070987E-1
2.527635907E0,9.978070259E0,2.356930375E-1,5.760720372E-1
2.547098302E0,1.005284595E1,2.189432681E-1,3.672982752E-1
2.566560698E0,1.000618649E1,1.304088384E-1,2.985046208E-1
2.586023094E0,9.907482147E0,8.853443712E-2,3.230310678E-1
2.605485490E0,9.796813965E0,1.166501045E-1,3.684946895E-1
2.624947886E0,9.720842361E0,1.794617027E-1,3.756731451E-1
2.644410282E0,9.675378799E0,1.680957973E-1,3.696911037E-1
2.663872677E0,9.764511108E0,8.614161611E-2,3.690928817E-1
2.683335073E0,9.840482712E0,1.495514158E-2,3.212364316E-1
2.702797469E0,9.957731247E0,7.776673883E-2,1.968096644E-1
2.722259865E0,1.016829967E1,1.848455518E-1,9.451649338E-2
2.741722261E0,1.017129040E1,2.159522474E-1,9.511470050E-2
2.761184657E0,9.956535339E0,1.627119333E-1,1.770688742E-1
2.780647157E0,9.815957069E0,1.495514158E-2,3.038884699E-1
2.800109552E0,9.749555588E0,-6.699903309E-2,4.301098585E-1
2.819571948E0,9.731011391E0,-5.862415582E-2,4.528416991E-1
2.839034344E0,9.756733894E0,3.409772366E-2,5.204389095E-1
2.858496740E0,9.809376717E0,1.190429255E-1,5.497509837E-1
2.877959136E0,9.844670296E0,1.399801224E-1,4.851447940E-1
2.897421532E0,9.843474388E0,5.204389244E-2,3.822534084E-1
2.916883927E0,9.889535904E0,-8.973085321E-3,3.320041299E-1
2.936346323E0,9.895518303E0,-2.333002165E-2,3.332005441E-1
2.955808719E0,9.860223770E0,1.794616925E-3,3.367897868E-1
2.975271115E0,9.869196892E0,4.905286431E-2,3.439682424E-1
2.994733511E0,9.839286804E0,1.040877849E-1,3.661018610E-1
3.014195907E0,9.839884758E0,9.990034252E-2,3.421736360E-1
3.033658302E0,9.854840279E0,1.028913707E-1,3.385843933E-1
3.053120698E0,9.892526627E0,1.076770201E-1,3.266202807E-1
3.072583094E0,9.929018021E0,8.195417374E-2,3.080759048E-1
3.092045490E0,9.914660454E0,4.905286431E-2,2.871387303E-1
3.111507886E0,9.885348320E0,4.007977992E-2,2.003988922E-1
3.130970282E0,9.860223770E0,5.204389244E-2,1.657029688E-1
3.150432677E0,9.894919395E0,8.135596663E-2,2.368894368E-1
3.169895073E0,9.948758125E0,1.310070455E-1,3.068794906E-1
3.189357469E0,9.949954987E0,9.690931439E-2,2.913261652E-1
3.208819865E0,9.879964828E0,3.469592705E-2,2.662015259E-1
3.228282261E0,9.837491989E0,-8.374879137E-3,2.482553422E-1
3.247744657E0,9.933204651E0,-2.512463741E-2,2.572284341E-1
3.267207052E0,9.973882675E0,2.153540403E-2,2.679961324E-1
3.286669448E0,9.946365356E0,3.768695518E-2,2.231307179E-1
3.306131844E0,9.918848038E0,-1.674975827E-2,2.219343036E-1
3.325594240E0,9.832108498E0,-7.537391037E-2,2.590230405E-1
3.345056636E0,9.714859962E0,-1.220339537E-1,3.194418252E-1
3.364519032E0,9.658628464E0,-1.100698411E-1,3.918247223E-1
3.383981427E0,9.746564865E0,-7.178468257E-2,4.325026870E-1
3.403443927E0,9.849455833E0,-4.366901144E-2,3.762713671E-1
3.422906323E0,9.935597420E0,-6.879365444E-2,2.847459018E-1
3.442368719E0,9.958928108E0,-8.614161611E-2,2.321037948E-1
3.461831115E0,9.905089378E0,-8.793623000E-2,2.416750938E-1
3.481293511E0,9.803394318E0,-7.537391037E-2,3.098705411E-1
3.500755907E0,9.746564865E0,-1.734796353E-2,3.978067636E-1
