"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.450861500E-2,-4.535670951E-2,3.124573231E-1,2.328922041E-2
8.396986500E-2,-4.428769648E-2,3.301724195E-1,7.635809743E-5
1.034334070E-1,-5.009091273E-2,3.268126547E-1,-2.985601686E-2
1.228946570E-1,-5.955931544E-2,3.210094273E-1,-5.535962060E-2
1.423581980E-1,-7.498364896E-2,3.008508980E-1,-7.506000996E-2
1.618194480E-1,-9.880737960E-2,2.538143098E-1,-9.720385820E-2
1.812829900E-1,-1.163697392E-1,1.902843714E-1,-1.100320220E-1
2.007442400E-1,-1.307250559E-1,1.284343153E-1,-1.136972085E-1
2.202077820E-1,-1.542433500E-1,1.006399691E-1,-1.051450968E-1
2.396690320E-1,-1.844811589E-1,1.039997265E-1,-8.025235683E-2
2.591325730E-1,-2.138026655E-1,9.575305134E-2,-4.451677203E-2
2.785938230E-1,-2.306014597E-1,6.780599058E-2,-2.435823344E-2
2.980573650E-1,-2.344193608E-1,2.764163166E-2,-1.702785492E-2
3.175186150E-1,-2.386954129E-1,4.581485991E-4,-1.153007243E-2
3.369821570E-1,-2.269362658E-1,-4.734201822E-3,-3.130682046E-3
3.564434070E-1,-1.866191924E-1,4.886918236E-3,-2.825249685E-3
3.759070520E-1,-1.172860414E-1,-4.123337101E-3,-1.756236190E-3
3.953681980E-1,-3.619373962E-2,-2.046396956E-2,2.214384731E-3
4.148318440E-1,1.527161920E-3,-2.199113183E-2,-8.475748822E-3
4.342929900E-1,-2.046396956E-2,-4.413498193E-2,-3.153589368E-2
4.537566360E-1,-6.566796452E-2,-8.139773458E-2,-5.429060757E-2
4.732177820E-1,-1.038470119E-1,-1.009454057E-1,-6.772962958E-2
4.926814270E-1,-1.209512278E-1,-1.082757786E-1,-6.986765563E-2
5.121425730E-1,-1.186604798E-1,-1.356119812E-1,-6.757691503E-2
5.316062190E-1,-9.728021920E-2,-1.832594275E-1,-7.170025259E-2
5.510673650E-1,-7.742711157E-2,-2.548833191E-1,-8.910989761E-2
5.705310110E-1,-1.065959036E-1,-2.893971801E-1,-1.130863428E-1
5.899921570E-1,-1.742491722E-1,-2.583957911E-1,-1.402698308E-1
6.094558020E-1,-2.105956376E-1,-2.057087123E-1,-1.544724256E-1
6.289169480E-1,-1.786779463E-1,-1.831067204E-1,-1.419496983E-1
6.483805940E-1,-1.033888608E-1,-1.973093301E-1,-1.347720474E-1
6.678417400E-1,-3.191768378E-2,-2.150243968E-1,-1.372154951E-1
6.873053860E-1,-2.443459118E-3,-1.986837685E-1,-1.311068535E-1
7.067666360E-1,-5.803215317E-3,-1.412624866E-1,-1.089630052E-1
7.262301770E-1,4.428769462E-3,-6.383536756E-2,-6.467530876E-2
7.456914270E-1,5.238165334E-2,1.007926930E-2,-5.268708803E-3
7.651549690E-1,1.148425788E-1,6.536252797E-2,5.871937796E-2
7.846162190E-1,1.464548260E-1,7.651081681E-2,1.243873388E-1
8.040797610E-1,1.356119812E-1,5.879573524E-2,1.824194938E-1
8.235410110E-1,8.964440972E-2,6.001746282E-2,2.100611329E-1
8.430045520E-1,5.696314201E-2,7.635809481E-2,2.132681608E-1
8.624658020E-1,5.222893879E-2,9.269873053E-2,2.225838602E-1
8.819293440E-1,4.459312931E-2,9.896009415E-2,2.120464295E-1
9.013905940E-1,5.314523727E-2,9.514218569E-2,1.721875072E-1
9.208541360E-1,8.353576064E-2,1.049160287E-1,1.245400533E-1
9.403153860E-1,1.073594838E-1,1.808159798E-1,1.042288020E-1
9.597789270E-1,1.056796089E-1,2.554942071E-1,9.964732081E-2
9.792401770E-1,9.880737960E-2,2.415970266E-1,9.277509153E-2
9.987037190E-1,1.192713454E-1,1.598938555E-1,7.582359016E-2
1.018164969E0,1.707367003E-1,6.582067907E-2,5.001455545E-2
1.037628511E0,2.076940238E-1,1.572976820E-2,4.130972922E-2
1.057089761E0,2.110537887E-1,2.214384824E-2,4.818195850E-2
1.076553407E0,1.846338809E-1,3.375028074E-2,6.589704007E-2
1.096014552E0,1.288924664E-1,2.290742844E-2,8.620829135E-2
1.115478198E0,6.001746282E-2,1.237001177E-2,9.369138628E-2
1.134939344E0,5.650499370E-3,1.145371422E-2,8.605557680E-2
1.154402990E0,-2.748891525E-2,1.175914705E-2,6.223184988E-2
1.173864136E0,-4.596757516E-2,1.756236330E-2,4.130972922E-2
1.193327782E0,-4.291325063E-2,4.382954910E-2,2.634354308E-2
1.212788927E0,-1.893680729E-2,8.491020650E-2,2.390008420E-2
1.232252573E0,2.458730713E-2,1.288924664E-1,3.596466407E-2
1.251713719E0,8.216131479E-2,1.369864196E-1,5.108356848E-2
1.271177365E0,1.334739476E-1,9.712749720E-2,6.253728271E-2
1.290638511E0,1.539379209E-1,3.787361458E-2,5.749764666E-2
1.310102157E0,1.559232324E-1,-9.010255337E-3,4.253146052E-2
1.329563407E0,1.687513888E-1,-3.420842811E-2,3.138317913E-2
1.349026948E0,1.899789423E-1,-4.367683083E-2,3.168861195E-2
1.368488198E0,1.948658675E-1,-5.054906011E-2,3.443750367E-2
1.387951740E0,1.841757298E-1,-5.161807314E-2,3.367391974E-2
1.407412990E0,1.887572110E-1,-6.780599058E-2,2.695440874E-2
1.426876532E0,2.229656428E-1,-8.521563560E-2,3.016144782E-2
1.446337782E0,2.483165264E-1,-9.834922850E-2,2.955058403E-2
1.465801323E0,2.351829410E-1,-1.122464016E-1,2.603811212E-2
1.485262573E0,1.974620372E-1,-1.165224537E-1,1.809686981E-2
1.504726115E0,1.663079411E-1,-1.010981202E-1,8.628465235E-3
1.524187365E0,1.696676910E-1,-7.803797722E-2,4.199695308E-3
1.543650907E0,2.028071135E-1,-5.818486959E-2,6.337722298E-3
1.563112157E0,2.347247899E-1,-4.199695215E-2,1.336266659E-2
1.582575698E0,2.345720828E-1,-3.940077871E-2,1.534797717E-2
1.602036948E0,2.055560052E-1,-4.734202102E-2,5.421424750E-3
1.621500490E0,1.733328849E-1,-6.078104675E-2,-1.603520010E-3
1.640961740E0,1.682932526E-1,-7.635809481E-2,-4.963276442E-3
1.660425282E0,1.823431402E-1,-9.162971377E-2,-5.574141163E-3
1.679886532E0,1.873827726E-1,-1.072067693E-1,1.603520010E-3
1.699350177E0,1.653916389E-1,-1.064431891E-1,1.458439697E-2
1.718811323E0,1.262962967E-1,-9.361502528E-2,2.710712515E-2
1.738274969E0,8.674279600E-2,-8.796452731E-2,3.886627033E-2
1.757736115E0,6.658425927E-2,-8.292489499E-2,4.879282415E-2
1.777199761E0,6.032289565E-2,-9.575305134E-2,5.597048625E-2
