"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.714100533E0,-2.550360560E-1,4.115701467E-2,-8.727730811E-2
1.733561158E0,-2.672533393E-1,5.856665969E-2,-6.009382382E-2
1.753021783E0,-2.620609999E-1,6.666062027E-2,-4.818195850E-2
1.772482408E0,-2.229656428E-1,5.826122686E-2,-5.383246019E-2
1.791943137E0,-1.496618688E-1,4.176788032E-2,-6.345357746E-2
1.811403762E0,-8.628465235E-2,2.130390890E-2,-6.986765563E-2
1.830864387E0,-5.100720748E-2,-2.290742996E-4,-7.215840369E-2
1.850325012E0,-3.848448023E-2,-8.170315996E-3,-6.604975462E-2
1.869785637E0,-4.734202102E-2,3.894262947E-3,-5.551233515E-2
1.889246367E0,-7.040216774E-2,9.239329956E-3,-4.589121789E-2
1.908706992E0,-9.422589093E-2,-7.559451740E-3,-4.237874225E-2
1.928167617E0,-1.183550507E-1,-4.634936526E-2,-4.772381112E-2
1.947628242E0,-1.389717311E-1,-8.177952468E-2,-5.917752534E-2
1.967088867E0,-1.502727419E-1,-9.201150388E-2,-6.299543381E-2
1.986549596E0,-1.580612659E-1,-6.131555140E-2,-5.871937796E-2
2.006010221E0,-1.585194170E-1,-3.092502989E-2,-5.444332212E-2
2.025470846E0,-1.386663020E-1,-2.359465137E-2,-5.306887627E-2
2.044931471E0,-9.636391699E-2,-2.435823344E-2,-4.940368980E-2
2.064392096E0,-4.963276163E-2,-1.603520010E-3,-3.657552972E-2
2.083852825E0,-1.404988952E-2,3.596466407E-2,-2.115119249E-2
2.103313450E0,-7.635809598E-4,6.788235158E-2,-1.183550525E-2
2.122774075E0,-4.276053514E-3,8.483384550E-2,-1.076649129E-2
2.142234700E0,-1.679878123E-2,9.155336022E-2,-1.168278884E-2
2.161695325E0,-2.122755162E-2,1.022434905E-1,-3.588830587E-3
2.181156054E0,-4.581485991E-4,1.326340139E-1,1.794415340E-2
2.200616679E0,3.481929377E-2,1.459203213E-1,3.978256881E-2
2.220077304E0,6.383536756E-2,1.028543562E-1,4.207331315E-2
2.239537929E0,7.315105945E-2,3.627009690E-2,3.199404106E-2
2.258998554E0,7.498364896E-2,-1.305723470E-2,1.687514037E-2
2.278459283E0,8.231402934E-2,-2.130390890E-2,9.086613543E-3
2.297919908E0,8.903354406E-2,-1.748600416E-2,7.864884101E-3
2.317380533E0,9.468404204E-2,-9.850194678E-3,7.712167688E-3
2.336841158E0,1.041524485E-1,9.926552884E-4,7.254019380E-3
2.356301783E0,1.075121984E-1,2.283107117E-2,1.061377581E-2
2.375762408E0,9.880737960E-2,4.008800164E-2,1.397353224E-2
2.395223033E0,8.338304609E-2,3.153589368E-2,1.351538301E-2
2.414683762E0,6.856957078E-2,1.733328775E-2,9.392046370E-3
2.434144387E0,6.414080411E-2,6.643154658E-3,4.352411721E-3
2.453605012E0,6.123919412E-2,-7.635809743E-5,-5.345066893E-4
2.473065637E0,5.009091273E-2,-8.399390499E-4,-3.283398226E-3
2.492526262E0,4.657844082E-2,3.016144782E-2,-1.603520010E-3
2.511986992E0,5.711585656E-2,5.703949928E-2,-1.145371469E-3
2.531447617E0,6.750056148E-2,5.719221383E-2,-3.130682046E-3
2.550908242E0,6.933315098E-2,4.925097153E-2,-3.588830587E-3
