"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.758797300E-2,-1.088102907E-1,-5.543597788E-2,1.527161989E-2
8.704839000E-2,-1.002581790E-1,-4.169152305E-2,4.276053514E-3
1.065087020E-1,-8.758273721E-2,-3.207040206E-2,-9.162971750E-3
1.259691190E-1,-6.971494108E-2,-3.329212964E-2,-2.367101051E-2
1.454295360E-1,-5.199986324E-2,-4.413498193E-2,-3.878991306E-2
1.648899520E-1,-4.482220486E-2,-5.360338464E-2,-5.543597788E-2
1.843503690E-1,-5.276344717E-2,-5.604684353E-2,-7.177661359E-2
2.038107860E-1,-5.612320080E-2,-7.009673119E-2,-7.788526267E-2
2.232712020E-1,-4.268417507E-2,-1.033888608E-1,-7.315105945E-2
2.427316190E-1,-1.840230078E-2,-1.104138121E-1,-6.444623321E-2
2.621920360E-1,2.061668551E-3,-1.079703495E-1,-6.520981342E-2
2.816524520E-1,1.901316643E-2,-1.059850380E-1,-6.963858753E-2
3.011128690E-1,3.016144782E-2,-1.007926911E-1,-6.169734150E-2
3.205731820E-1,2.222020552E-2,-8.216131479E-2,-5.283980444E-2
3.400335980E-1,1.748600416E-2,-6.750056148E-2,-4.673115537E-2
3.594940150E-1,1.580612548E-2,-6.414080411E-2,-3.298669681E-2
3.789544320E-1,1.595884189E-2,-6.429351866E-2,-4.428769462E-3
3.984148480E-1,1.443168055E-2,-6.475166976E-2,2.000582218E-2
4.178752650E-1,8.781181648E-3,-4.627300799E-2,2.672533318E-2
4.373356820E-1,8.399390499E-4,-1.145371422E-2,2.290742844E-2
4.567960980E-1,-2.214384731E-3,7.941242307E-3,2.122755162E-2
4.762565150E-1,-6.032289471E-3,5.192350596E-3,2.092211880E-2
4.957169320E-1,2.977965865E-3,7.941242307E-3,2.565632015E-2
5.151773480E-1,1.718057133E-2,2.336557768E-2,2.825249545E-2
5.346377650E-1,2.787070535E-2,2.703076601E-2,2.901607752E-2
5.540981820E-1,4.283689335E-2,2.199113183E-2,2.947422490E-2
5.735584940E-1,5.978839099E-2,6.261364091E-3,3.191768378E-2
5.930189110E-1,7.108938694E-2,-2.122755162E-2,4.077522457E-2
6.124793270E-1,7.475458086E-2,-4.321868345E-2,4.963276163E-2
6.319397440E-1,7.826705277E-2,-4.077522457E-2,5.177079141E-2
6.514001610E-1,7.887791097E-2,-1.542433538E-2,5.009091273E-2
6.708605770E-1,6.940951198E-2,3.665188793E-3,4.108065739E-2
6.903209940E-1,6.513345987E-2,-1.832594397E-3,3.054323979E-2
7.097814110E-1,8.284853399E-2,-1.267544460E-2,2.657261863E-2
7.292418270E-1,9.873101860E-2,-1.069013402E-2,1.878409274E-2
7.487022440E-1,1.030070707E-1,3.817904973E-3,6.719512399E-3
7.681626610E-1,9.674570709E-2,1.450803876E-2,3.207040019E-3
7.876229730E-1,8.071050793E-2,2.092211880E-2,2.748891478E-3
8.070833900E-1,6.284271181E-2,2.611446939E-2,2.290742937E-3
8.265438070E-1,5.184714869E-2,2.351829410E-2,-1.221729559E-3
8.460042230E-1,4.833467677E-2,1.374445762E-2,-4.581485875E-3
8.654646400E-1,4.665479809E-2,3.054323897E-4,-8.552107029E-3
8.849250570E-1,4.650207981E-2,-1.527161989E-2,-1.084284950E-2
9.043854730E-1,4.833467677E-2,-2.199113183E-2,-3.054323839E-3
9.238458900E-1,5.031998456E-2,-1.588248461E-2,6.872228812E-3
9.433063070E-1,4.848739132E-2,6.108647794E-4,1.175914705E-2
9.627667230E-1,4.634936526E-2,1.756236330E-2,1.175914705E-2
9.822271400E-1,4.558578506E-2,3.298669681E-2,8.399390616E-3
1.001687557E0,4.207331315E-2,3.497200832E-2,1.221729559E-3
1.021147869E0,3.764454275E-2,3.405570984E-2,-6.566796452E-3
1.040608286E0,3.901898861E-2,2.748891525E-2,-1.130099874E-2
1.060068702E0,3.794997558E-2,8.399390616E-3,-1.084284950E-2
1.079529119E0,2.878700197E-2,7.483093534E-3,-1.542433538E-2
1.098989536E0,1.870773360E-2,6.719512399E-3,-2.825249545E-2
1.118449952E0,2.145662531E-2,8.552107029E-3,-3.711003438E-2
1.137910369E0,3.168861195E-2,5.803215317E-3,-3.726275265E-2
1.157370786E0,3.336848691E-2,6.108647678E-3,-3.833176568E-2
1.176831202E0,2.802342176E-2,-1.832594397E-3,-4.092793912E-2
1.196291619E0,1.824958436E-2,8.552107029E-3,-4.031707719E-2
1.215752036E0,1.756236190E-3,2.474002354E-2,-3.894263133E-2
1.235212452E0,-9.697478265E-3,3.726275265E-2,-4.398226365E-2
1.254672869E0,-6.795870606E-3,4.199695215E-2,-5.528326333E-2
1.274133182E0,9.544761851E-3,3.985892609E-2,-6.047561392E-2
1.293593598E0,2.206749097E-2,2.458730713E-2,-5.604684353E-2
1.313054015E0,2.038761228E-2,5.345067009E-3,-4.856374860E-2
1.332514432E0,7.406735327E-3,5.345067009E-3,-4.428769648E-2
1.351974848E0,-3.130682046E-3,2.199113183E-2,-4.474584386E-2
1.371435265E0,-3.588830587E-3,3.283398226E-2,-4.780016840E-2
1.390895682E0,-3.894262947E-3,2.825249545E-2,-4.428769648E-2
1.410356098E0,-7.559451740E-3,2.183841541E-2,-3.909534588E-2
1.429816515E0,-1.336266659E-2,2.275471389E-2,-3.497200832E-2
1.449276932E0,-1.443168055E-2,3.252854943E-2,-3.405570984E-2
1.468737348E0,-9.850194678E-3,3.344484791E-2,-3.222311661E-2
1.488197661E0,-1.000291109E-2,1.970038936E-2,-3.207040206E-2
1.507658077E0,-7.254019380E-3,2.840521187E-2,-3.329212964E-2
1.527118494E0,-5.574141163E-3,3.191768378E-2,-3.359756246E-2
1.546578911E0,9.086613543E-3,2.351829410E-2,-2.626718581E-2
1.566039327E0,2.756527252E-2,1.084284950E-2,-1.481347065E-2
1.585499744E0,4.466948658E-2,3.512472380E-3,-1.832594397E-3
1.604960161E0,5.199986324E-2,-6.108647678E-3,9.773836471E-3
1.624420577E0,5.703949928E-2,4.428769462E-3,2.367101051E-2
1.643880994E0,6.314814836E-2,8.857538924E-3,3.527744114E-2
1.663341411E0,8.361211419E-2,4.276053514E-3,4.489856213E-2
1.682801827E0,1.011744812E-1,1.527161920E-3,4.871646687E-2
1.702262244E0,1.056032479E-1,-2.138026757E-3,4.871646687E-2
1.721722557E0,1.071304083E-1,-4.123337101E-3,5.528326333E-2
1.741182973E0,1.162933856E-1,-7.024944760E-3,6.963858753E-2
1.760643390E0,1.289688200E-1,-1.053741761E-2,8.888082206E-2
1.780103807E0,1.379790753E-1,-1.145371422E-2,1.021671370E-1
1.799564223E0,1.430187225E-1,-7.941242307E-3,1.081230640E-1
1.819024640E0,1.414915472E-1,-3.970621154E-3,1.065959036E-1
1.838485057E0,1.317177117E-1,-4.886918236E-3,1.036942974E-1
1.857945473E0,1.111010313E-1,-1.099556591E-2,9.728021920E-2
1.877405890E0,8.223766834E-2,-1.221729536E-2,8.781181276E-2
1.896866307E0,5.276344717E-2,-1.130099874E-2,8.017600328E-2
