"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.980214000E-2,9.745966911E0,7.627122402E-1,1.549352705E-1
4.926255700E-2,9.775876999E0,5.988038778E-1,2.057827413E-1
6.872297300E-2,9.748359680E0,4.797609448E-1,2.321037948E-1
8.818339000E-2,9.647860527E0,4.145565331E-1,2.751746178E-1
1.076437020E-1,9.558728218E0,3.678964674E-1,3.936193287E-1
1.271041190E-1,9.516255379E0,3.320041299E-1,5.473581553E-1
1.465645360E-1,9.493523598E0,3.696911037E-1,7.100701332E-1
1.660249520E-1,9.468997002E0,3.966103494E-1,7.429714203E-1
1.854853690E-1,9.466006279E0,2.943171859E-1,6.873382926E-1
2.049457860E-1,9.501898766E0,1.417747438E-1,6.574280262E-1
2.244062020E-1,9.672387123E0,-7.776673418E-3,6.340979934E-1
2.438666190E-1,9.954142570E0,-6.041877344E-2,5.174478889E-1
2.633270360E-1,1.018385315E1,-4.725824669E-2,4.977070987E-1
2.827874520E-1,1.024726295E1,6.161518395E-2,5.138586760E-1
3.022478690E-1,1.018804073E1,2.440679073E-1,3.678964674E-1
3.217081820E-1,1.017069244E1,3.403790295E-1,2.757728100E-1
3.411685980E-1,1.017787075E1,3.954139352E-1,2.315055877E-1
3.606290150E-1,1.016052341E1,4.199403822E-1,1.986042857E-1
3.800894320E-1,1.015155029E1,5.198407173E-1,2.063809484E-1
3.995498480E-1,1.025324535E1,6.185446382E-1,1.848455518E-1
4.190102650E-1,1.027478027E1,6.532405615E-1,9.152546525E-2
4.384706820E-1,1.014317513E1,5.647061467E-1,-2.991028363E-3
4.579310980E-1,1.002413273E1,3.475574851E-1,-4.666004330E-2
4.773915150E-1,1.000558758E1,2.249253243E-1,8.135596663E-2
4.968519320E-1,9.948160172E0,2.015953064E-1,3.332005441E-1
5.163123480E-1,9.836894035E0,2.231307179E-1,4.199403822E-1
5.357727650E-1,9.636494637E0,3.894318938E-1,3.194418252E-1
5.552331820E-1,9.532406807E0,5.012963414E-1,2.063809484E-1
5.746934940E-1,9.562915802E0,4.863412082E-1,1.435693651E-1
5.941539110E-1,9.762118340E0,3.900300860E-1,1.034895778E-1
6.136143270E-1,9.997811317E0,3.230310678E-1,1.657029688E-1
6.330747440E-1,1.003609657E1,2.715853751E-1,1.639083475E-1
6.525351610E-1,9.978070259E0,2.614158690E-1,5.982056726E-3
6.719955770E-1,9.908080101E0,2.608176768E-1,-1.453639716E-1
6.914559940E-1,9.881160736E0,2.787638307E-1,-8.973085321E-3
7.109164110E-1,9.900303841E0,3.481557071E-1,1.501496136E-1
7.303768270E-1,9.921838760E0,4.061816335E-1,1.746760458E-1
7.498372440E-1,9.933204651E0,3.266202807E-1,2.141576260E-1
7.692976610E-1,9.986445427E0,2.452643216E-1,1.896311939E-1
7.887579730E-1,9.971489906E0,2.315055877E-1,1.555334777E-1
8.082183900E-1,9.853045464E0,3.469592929E-1,1.034895778E-1
8.276788070E-1,9.707681656E0,4.989035130E-1,8.255238086E-2
8.471392230E-1,9.625128746E0,6.442674994E-1,6.460621208E-2
8.665996400E-1,9.683155060E0,7.160521746E-1,7.238288224E-2
8.860600570E-1,9.799206734E0,7.022934556E-1,1.663011760E-1
9.055204730E-1,9.932606697E0,6.400800347E-1,2.386840582E-1
9.249808900E-1,1.006959629E1,5.048855543E-1,2.667997181E-1
9.444413070E-1,1.009412193E1,4.043870270E-1,2.751746178E-1
9.639017230E-1,1.005165005E1,3.966103494E-1,2.757728100E-1
9.833621400E-1,9.967901230E0,4.827519655E-1,2.697907388E-1
1.002822557E0,9.878170013E0,5.551348329E-1,2.518445849E-1
1.022282869E0,9.833304405E0,5.425725579E-1,1.549352705E-1
1.041743286E0,9.761520386E0,5.132604837E-1,1.375873089E-1
1.061203702E0,9.736993790E0,4.630111754E-1,8.434699476E-2
1.080664119E0,9.795618057E0,4.492524564E-1,-2.153540403E-2
1.100124536E0,9.796216011E0,5.030909777E-1,-1.794617064E-2
1.119584952E0,9.768698692E0,5.072783828E-1,4.965107143E-2
1.139045369E0,9.882357597E0,5.491527915E-1,5.802594870E-2
1.158505786E0,9.978070259E0,5.515456200E-1,9.092725813E-2
1.177966202E0,1.000678444E1,4.911268353E-1,1.830509305E-1
1.197426619E0,9.986445427E0,4.671986103E-1,1.459621787E-1
1.216887036E0,9.896116257E0,4.683950245E-1,1.531406492E-1
1.236347452E0,9.869794846E0,4.636093974E-1,1.393819153E-1
1.255807869E0,9.817152977E0,4.737788737E-1,1.292124242E-1
1.275268182E0,9.734601021E0,5.102694035E-1,1.339980662E-1
1.294728598E0,9.768698692E0,5.533402562E-1,1.489532143E-1
1.314189015E0,9.915857315E0,5.784648657E-1,1.902294010E-1
