"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.511823406E0,9.786644936E0,4.594219327E-1,-3.379862010E-1
1.531284135E0,9.646066666E0,4.839483798E-1,-3.409772217E-1
1.550744864E0,9.678369522E0,4.642075896E-1,-3.798605800E-1
1.570205489E0,9.797411919E0,3.589234054E-1,-5.060819983E-1
1.589666219E0,9.866206169E0,3.140579760E-1,-6.580262184E-1
1.609126948E0,9.775876999E0,4.618147612E-1,-7.250252366E-1
1.628587573E0,9.677771568E0,5.808576941E-1,-6.759724021E-1
1.648048302E0,9.750752449E0,5.365904570E-1,-7.040880919E-1
1.667509031E0,9.865009308E0,3.541377485E-1,-8.691928387E-1
1.686969656E0,9.990633011E0,3.098705411E-1,-1.171286702E0
1.706430385E0,1.001575756E1,5.276173949E-1,-1.308275819E0
1.725891114E0,9.985847473E0,7.854440212E-1,-1.193420291E0
1.745351739E0,9.853643417E0,8.087740541E-1,-8.410771489E-1
1.764812469E0,9.627521515E0,6.245267391E-1,-6.376872063E-1
1.784273198E0,9.448657990E0,1.812563092E-1,-5.832505226E-1
1.803733823E0,9.287142754E0,-1.812563092E-1,-5.138586760E-1
1.823194552E0,9.363115311E0,-1.369891018E-1,-3.828516304E-1
1.842655281E0,9.687940598E0,2.673979402E-1,-4.552344978E-1
1.862115906E0,1.005224800E1,6.771687865E-1,-6.532405615E-1
1.881576635E0,1.016052341E1,5.593222976E-1,-1.094118118E0
1.901037364E0,9.985847473E0,8.793623000E-2,-1.409970760E0
1.920497989E0,9.684949875E0,-2.452643216E-1,-1.431506157E0
1.939958719E0,9.432506561E0,-1.471585929E-1,-1.315454245E0
1.959419344E0,9.173483849E0,5.204389244E-2,-1.268195987E0
1.978880073E0,9.006584167E0,-4.007977992E-2,-1.409970760E0
1.998340802E0,8.997611046E0,-2.291127741E-1,-1.868196249E0
2.017801427E0,8.825327873E0,-3.343969584E-1,-2.064407825E0
2.037262156E0,8.757730484E0,-4.486542568E-2,-2.020140409E0
2.056722885E0,8.783453941E0,7.112665176E-1,-1.806581140E0
2.076183510E0,9.190233231E0,1.561316729E0,-1.904686809E0
2.095644239E0,9.746564865E0,2.207378864E0,-2.349751949E0
2.115104969E0,1.009830952E1,2.332403898E0,-3.131008387E0
2.134565698E0,9.857831001E0,2.051247120E0,-3.425325632E0
2.154026323E0,9.381061554E0,1.709671736E0,-3.046063185E0
2.173487052E0,9.045467377E0,1.376471281E0,-2.901895761E0
2.192947781E0,9.150752068E0,1.179661512E0,-3.011367321E0
2.212408406E0,9.982855797E0,1.439880967E0,-3.384647608E0
2.231869135E0,1.084128094E1,1.681556106E0,-3.426522017E0
2.251329864E0,1.086461163E1,1.297508121E0,-2.545963287E0
2.270790489E0,1.042851925E1,8.045865893E-1,-1.470389485E0
2.290251219E0,9.935597420E0,6.586244106E-1,-6.173482537E-1
2.309711948E0,9.695118904E0,1.127019525E0,-5.688936114E-1
2.329172573E0,9.943972588E0,2.304288149E0,-1.235892892E0
2.348633302E0,1.042433167E1,3.767499208E0,-2.060818434E0
2.368094031E0,1.072044373E1,4.637290478E0,-2.432902336E0
2.387554656E0,1.042672443E1,4.475774765E0,-2.477767944E0
2.407015385E0,9.812965393E0,3.672384501E0,-2.360519648E0
2.426476114E0,9.160921097E0,3.043072224E0,-1.998605132E0
2.445936739E0,8.526225090E0,2.726621389E0,-1.584048629E0
2.465397469E0,8.263014793E0,2.539382935E0,-1.496112347E0
2.484858198E0,8.402995110E0,2.370688915E0,-1.546959877E0
2.504318823E0,8.716454506E0,2.258226395E0,-1.335793257E0
2.523779552E0,8.980263710E0,2.177468538E0,-1.067797065E0
2.543240281E0,9.108877182E0,2.047657967E0,-1.192223907E0
2.562701010E0,8.769096375E0,1.804188251E0,-1.532004714E0
2.582161635E0,8.623134613E0,1.941177368E0,-2.746960402E0
2.601622364E0,8.970093727E0,2.459223509E0,-4.417150497E0
2.621083094E0,9.235098839E0,2.356930256E0,-5.539982796E0
2.640543719E0,9.630513191E0,1.798804402E0,-5.914459229E0
2.660004448E0,1.022572803E1,1.548156261E0,-4.889134884E0
2.679465177E0,1.053978539E1,1.385444283E0,-3.318845034E0
2.698925802E0,1.074078274E1,1.968096644E-1,-1.587039590E0
2.718386531E0,1.033759212E1,-1.195813060E0,-3.900300860E-1
2.737847260E0,9.665806770E0,-1.366301775E0,-1.429711580E-1
2.757307885E0,9.096913338E0,2.063809484E-1,-3.750749528E-1
2.776768614E0,8.819944382E0,2.247458696E0,-1.085145116E0
2.796229344E0,8.987442017E0,3.214757204E0,-2.136790514E0
2.815689969E0,9.753145218E0,2.310868502E0,-2.714657307E0
2.835150698E0,1.054875851E1,4.833501875E-1,-2.757728100E0
2.854611427E0,1.091127110E1,-1.276570916E0,-2.670988321E0
2.874072052E0,1.045484066E1,-2.283350945E0,-2.228914261E0
2.893532781E0,9.810572624E0,-2.268994093E0,-1.548754454E0
2.912993510E0,9.396016121E0,-8.662018180E-1,-1.255035520E0
2.932454135E0,8.848658562E0,1.429711580E0,-1.535593987E0
2.951914864E0,8.918647766E0,2.888735056E0,-1.794018745E0
2.971375594E0,9.387042999E0,2.930609465E0,-2.127219439E0
2.990836219E0,9.696913719E0,1.360917926E0,-2.678765059E0
