"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.666374031E0,3.794997558E-2,-4.894553870E-2,2.130390890E-2
1.685834656E0,2.771798894E-2,-7.368556410E-2,2.054032870E-2
1.705295385E0,-7.101302966E-3,-1.010217592E-1,5.574141163E-3
1.724756114E0,-3.031416424E-2,-1.066722646E-1,-2.237292193E-2
1.744216739E0,-1.076649129E-2,-9.827287495E-2,-5.215258151E-2
1.763677469E0,3.443750367E-2,-8.849903196E-2,-6.268999726E-2
1.783138198E0,6.650790572E-2,-9.399681538E-2,-6.650790572E-2
1.802598823E0,8.941533417E-2,-1.611919403E-1,-8.712458611E-2
1.822059552E0,1.185841262E-1,-2.757290900E-1,-1.016326249E-1
1.841520281E0,1.524871141E-1,-3.853793144E-1,-1.169042438E-1
1.860980906E0,2.117410004E-1,-4.734965563E-1,-1.140026376E-1
1.880441635E0,2.920697331E-1,-5.167152286E-1,-9.903645515E-2
1.899902364E0,3.079521954E-1,-4.970148504E-1,-1.025489271E-1
1.919362989E0,2.836703360E-1,-4.722748399E-1,-1.417969912E-1
1.938823719E0,2.700785995E-1,-4.788416326E-1,-1.981492639E-1
1.958284344E0,2.891681194E-1,-4.960985482E-1,-2.485456020E-1
1.977745073E0,3.536143601E-1,-5.264890790E-1,-2.596938908E-1
1.997205802E0,4.041634202E-1,-5.585594773E-1,-2.509890795E-1
2.016666427E0,3.869064748E-1,-5.538252592E-1,-2.702313066E-1
2.036127156E0,3.085630834E-1,-5.684860349E-1,-2.990946770E-1
2.055587885E0,2.221257091E-1,-5.570323467E-1,-3.249036968E-1
2.075048510E0,1.182786897E-1,-5.464949012E-1,-3.378845751E-1
2.094509239E0,-1.748600416E-2,-5.683333278E-1,-3.516290486E-1
2.113969969E0,-1.700494885E-1,-6.369028687E-1,-3.659843504E-1
2.133430698E0,-3.450622559E-1,-7.488438487E-1,-3.601811528E-1
2.152891323E0,-4.296670258E-1,-8.187878728E-1,-3.343721032E-1
2.172352052E0,-3.983601928E-1,-8.135955334E-1,-2.792415619E-1
2.191812781E0,-4.011090994E-1,-7.942005992E-1,-2.074649483E-1
2.211273406E0,-4.657080472E-1,-8.164971471E-1,-1.462257504E-1
2.230734135E0,-5.807033181E-1,-7.974076271E-1,-1.172096804E-1
2.250194864E0,-6.544652581E-1,-6.595048904E-1,-9.598212689E-2
2.269655489E0,-6.213258505E-1,-4.356229603E-1,-8.468113095E-2
2.289116219E0,-4.936550856E-1,-2.331212759E-1,-1.007163301E-1
2.308576948E0,-3.027598560E-1,-1.424078494E-1,-1.275943816E-1
2.328037573E0,-1.298851222E-1,-1.289688200E-1,-1.172096804E-1
2.347498302E0,-8.605557680E-2,-1.101847365E-1,-8.284853399E-2
2.366959031E0,-1.422551423E-1,-1.214093715E-2,-3.978256881E-2
2.386419656E0,-2.160170525E-1,1.572213173E-1,3.817904799E-4
2.405880385E0,-2.705367506E-1,2.535852492E-1,1.427896414E-2
2.425341114E0,-3.090212345E-1,2.586248815E-1,1.779143699E-2
2.444801739E0,-2.981783748E-1,2.694677114E-1,3.397935256E-2
2.464262469E0,-2.267071903E-1,2.664133906E-1,6.207913160E-2
2.483723198E0,-1.243873388E-1,2.515999377E-1,1.022434905E-1
2.503183823E0,-3.168861195E-2,2.676351368E-1,1.552360058E-1
2.522644552E0,9.705114365E-2,3.304014802E-1,2.358701676E-1
2.542105281E0,2.732856274E-1,3.925569654E-1,3.362047076E-1
2.561566010E0,4.490619600E-1,4.250855148E-1,4.478402436E-1
2.581026635E0,5.672643185E-1,3.887390792E-1,5.666534305E-1
2.600487364E0,5.290852785E-1,2.337321341E-1,6.066650748E-1
2.619948094E0,4.035525322E-1,1.109483168E-1,6.230056882E-1
2.639408719E0,1.676060259E-1,1.074358448E-1,6.734020710E-1
2.658869448E0,-1.666897237E-1,1.535561383E-1,6.375137568E-1
2.678330177E0,-3.869064748E-1,2.767980993E-1,4.782307744E-1
2.697790802E0,-3.413970470E-1,4.153116941E-1,2.722166181E-1
2.717251531E0,-8.116865903E-2,5.553524494E-1,1.332448870E-1
2.736712260E0,1.952476501E-1,6.401099563E-1,1.173623949E-1
2.756172885E0,4.105774760E-1,5.997928381E-1,1.434768587E-1
2.775633614E0,5.854375362E-1,4.415788651E-1,1.702021956E-1
2.795094344E0,6.624065042E-1,2.940550447E-1,2.219729871E-1
2.814554969E0,5.643627048E-1,2.592357397E-1,2.871828079E-1
2.834015698E0,3.614028692E-1,3.740783334E-1,2.992473841E-1
2.853476427E0,2.149480432E-1,6.390409470E-1,2.267071903E-1
2.872937052E0,2.135736048E-1,8.465822339E-1,1.085048541E-1
2.892397781E0,3.026071489E-1,8.404735923E-1,4.497491941E-2
2.911858510E0,3.236819804E-1,7.010436654E-1,9.086613543E-3
2.931319135E0,1.926514804E-1,4.883100390E-1,-1.779143699E-2
2.950779864E0,2.023489587E-2,3.684278131E-1,-1.794415340E-2
2.970240594E0,-9.873101860E-2,4.267654121E-1,-1.962403022E-2
2.989701219E0,-2.091448307E-1,6.078867912E-1,4.039343446E-2
3.009161948E0,-4.145480990E-1,7.412080765E-1,1.051450968E-1
3.028622677E0,-6.028471589E-1,7.906880975E-1,9.857830405E-2
3.048083302E0,-6.402626634E-1,6.486620307E-1,9.063705802E-2
3.067544031E0,-4.870882928E-1,4.446332157E-1,1.239291951E-1
3.087004760E0,-3.479638398E-1,3.103956580E-1,1.647044122E-1
3.106465385E0,-2.948186100E-1,1.311068535E-1,1.618028134E-1
3.125926114E0,-2.548069656E-1,-5.345066893E-4,1.222493127E-1
3.145386844E0,-2.488510460E-1,-4.650207981E-2,1.014799103E-1
3.164847573E0,-2.552651167E-1,1.611155830E-2,1.210275814E-1
3.184308198E0,-2.343430072E-1,5.429060757E-2,1.753945500E-1
3.203768927E0,-1.625663936E-1,2.313650399E-2,2.311359644E-1
3.223229656E0,-5.902481079E-2,-2.367100911E-3,2.419788092E-1
3.242690281E0,1.840230078E-2,-3.130682046E-3,2.141844630E-1
3.262151010E0,4.864010960E-2,-3.504836559E-2,1.589011997E-1
3.281611739E0,6.177370250E-2,-5.810851231E-2,9.674570709E-2
3.301072364E0,1.156825200E-1,1.336266659E-2,9.262236953E-2
3.320533094E0,1.636354029E-1,4.543306679E-2,1.529452652E-1
3.339993823E0,2.088394016E-1,8.758273721E-2,2.096029818E-1
3.359454448E0,2.157116234E-1,6.559160352E-2,2.173915058E-1
3.378915177E0,1.836412251E-1,8.972076327E-2,1.819613427E-1
3.398375906E0,1.703549176E-1,1.027016416E-1,1.559995860E-1
3.417836531E0,1.973856837E-1,2.160934173E-2,1.651625633E-1
3.437297260E0,2.372446060E-1,-3.565923125E-2,2.013563067E-1
3.456757989E0,2.427423894E-1,-4.680751264E-2,2.509890795E-1
3.476218614E0,2.613737583E-1,-1.364519149E-1,2.865719497E-1
3.495679344E0,3.155880272E-1,-2.523635030E-1,2.839757502E-1
3.515140073E0,3.785070777E-1,-2.557232678E-1,2.473238707E-1
3.534600802E0,3.771326542E-1,-1.088102907E-1,1.802814752E-1
3.554061427E0,3.543779254E-1,-4.115701467E-2,1.182786897E-1
3.573522156E0,3.316232264E-1,-6.757691503E-2,8.498656005E-2
3.592982885E0,2.841284871E-1,-1.303432733E-1,6.482802331E-2
3.612443510E0,1.792124510E-1,-1.839466542E-1,4.405862093E-2
3.631904239E0,6.834049523E-2,-1.845575273E-1,9.544761851E-3
3.651364969E0,1.886045001E-2,-1.407279670E-1,-5.345066893E-4
3.670825594E0,-5.115992390E-3,-1.027016416E-1,5.115992390E-3
3.690286323E0,-3.978256881E-2,-5.322159454E-2,-1.061377581E-2
3.709747052E0,-8.513928205E-2,-1.702785492E-2,-3.550651670E-2
3.729207677E0,-1.022434905E-1,7.635809743E-5,-6.895136088E-2
3.748668406E0,-3.367391974E-2,3.588830587E-3,-8.422297984E-2
3.768129135E0,7.719803602E-2,-7.864884101E-3,-7.124210149E-2
