"event","experiment time","system time","system time text"
"START",0.000000000E0,1714529033.429,"2024-05-01 11:03:53.429 UTC+09:00"
"PAUSE",3.271178593E2,1714529360.547,"2024-05-01 11:09:20.547 UTC+09:00"
