"event","experiment time","system time","system time text"
"START",0.000000000E0,1714527864.998,"2024-05-01 10:44:24.998 UTC+09:00"
"PAUSE",2.999349188E2,1714528164.933,"2024-05-01 10:49:24.933 UTC+09:00"
