"event","experiment time","system time","system time text"
"START",0.000000000E0,1714526291.293,"2024-05-01 10:18:11.293 UTC+09:00"
"PAUSE",3.691351357E2,1714526660.428,"2024-05-01 10:24:20.428 UTC+09:00"
