"event","experiment time","system time","system time text"
"START",0.000000000E0,1714527157.191,"2024-05-01 10:32:37.191 UTC+09:00"
"PAUSE",3.307018094E2,1714527487.893,"2024-05-01 10:38:07.893 UTC+09:00"
